字表	主題	詞性	中文
animal	Animals & insects (動物/昆蟲)	n.	動物
bear	Animals & insects (動物/昆蟲)	n.	熊
bee	Animals & insects (動物/昆蟲)	n.	蜜蜂
bird	Animals & insects (動物/昆蟲)	n.	鳥
bite	Animals & insects (動物/昆蟲)	v.	咬
butterfly	Animals & insects (動物/昆蟲)	n.	蝴蝶
cat	Animals & insects (動物/昆蟲)	n.	貓
chicken	Animals & insects (動物/昆蟲)	n.	雞
cow	Animals & insects (動物/昆蟲)	n.	乳牛
dog	Animals & insects (動物/昆蟲)	n.	狗
duck	Animals & insects (動物/昆蟲)	n.	鴨子
elephant	Animals & insects (動物/昆蟲)	n.	大象
fish	Animals & insects (動物/昆蟲)	n.	魚
frog	Animals & insects (動物/昆蟲)	n.	青蛙
hippo	Animals & insects (動物/昆蟲)	n.	河馬
horse	Animals & insects (動物/昆蟲)	n.	馬
koala	Animals & insects (動物/昆蟲)	n.	無尾熊
lion	Animals & insects (動物/昆蟲)	n.	獅子
mice	Animals & insects (動物/昆蟲)	n.	老鼠(複數)
monkey	Animals & insects (動物/昆蟲)	n.	猴子
mouse	Animals & insects (動物/昆蟲)	n.	老鼠
panda	Animals & insects (動物/昆蟲)	n.	大貓熊
pet	Animals & insects (動物/昆蟲)	n.	寵物
pig	Animals & insects (動物/昆蟲)	n.	豬
rabbit	Animals & insects (動物/昆蟲)	n.	兔子
sheep	Animals & insects (動物/昆蟲)	n.	綿羊
snake	Animals & insects (動物/昆蟲)	n.	蛇
spider	Animals & insects (動物/昆蟲)	n.	蜘蛛
tiger	Animals & insects (動物/昆蟲)	n.	老虎
turtle	Animals & insects (動物/昆蟲)	n.	烏龜
whale	Animals & insects (動物/昆蟲)	n.	鯨魚
zebra	Animals & insects (動物/昆蟲)	n.	斑馬
a	Articles & determiners (冠詞/限定詞)	art.	一個
an	Articles & determiners (冠詞/限定詞)	art.	一個
every	Articles & determiners (冠詞/限定詞)	det.	每一個
her	Articles & determiners (冠詞/限定詞)	det.	她的
his	Articles & determiners (冠詞/限定詞)	det.	他的
its	Articles & determiners (冠詞/限定詞)	det.	它的、牠的
my	Articles & determiners (冠詞/限定詞)	det.	我的
our	Articles & determiners (冠詞/限定詞)	det.	我們的
that	Articles & determiners (冠詞/限定詞)	det.	那個
