字彙,詞類,註解,教育部課綱,AWL,CET,AVL,GEPT
a,art.,,2000,,4,,Elementary
an,,,2000,,4,,
a few,,,2000,,,,
a little,,,2000,,,,
a lot,,,2000,,,,
a.m.,adv.,,2000,,,,Elementary
able,adj.,,2000,,4,0,Elementary
about,prep./adv.,,2000,,4,,Elementary
above,prep./adv./adj.,,2000,,4,0,Elementary
abroad,adv.,,2000,,4,,Elementary
across,prep./adv.,,2000,,4,,Elementary
act,noun/verb,,2000,,4,0,Elementary
action,noun,,2000,,4,0,Elementary
actor,noun,,2000,,4,0,Elementary
actress,noun,,2000,,4,0,Elementary
actually,adv.,,2000,,4,0,Elementary
afraid,adj.,,2000,,4,,Elementary
after,prep./conj.,,2000,,4,,Elementary
afternoon,noun,,2000,,4,,Elementary
again,adv.,,2000,,4,,Elementary
age,noun/verb,,2000,,4,Medicine & health,Elementary
ago,adv.,,2000,,4,,Elementary
agree,verb,,2000,,4,,Elementary
ahead,adv.,,2000,,4,,Elementary
air,noun,,2000,,4,,Elementary
airplane,noun,,2000,,4,,Elementary
airport,noun,,2000,,4,,Elementary
all,adj./pron./adv.,,2000,,4,,Elementary
allow,verb,,2000,,4,0,Elementary
almost,adv.,,2000,,4,,Elementary
along,prep./adv.,,2000,,4,,Elementary
already,adv.,,2000,,4,,Elementary
also,adv.,,2000,,4,,Elementary
always,adv.,,2000,,4,,Elementary
America,noun,,2000,,,,Elementary
American,adj./noun,,2000,,,,Elementary
and,conj.,,2000,,4,,Elementary
angle,noun,,2000,,4,,Intermediate
angry,adj.,,2000,,4,,Elementary
animal,noun,,2000,,4,,Elementary
another,pron./adj.,,2000,,4,,Elementary
answer,noun/verb,,2000,,4,,Elementary
ant,noun,,2000,,4,,Elementary
any,pron./adv./adj.,,2000,,4,,Elementary
anyone,pron.,,2000,,4,,Elementary
anything,pron.,,2000,,4,,Elementary
apartment,noun,,2000,,4,,Elementary
appear,verb,,2000,,4,0,Elementary
apple,noun,,2000,,4,,Elementary
April,noun,,2000,,4,,Elementary
baby,noun,,2000,,4,,Elementary
back,adv./noun/verb/adj.,,2000,,4,,Elementary
bad,adj.,,2000,,4,,Elementary
badminton,noun,,2000,,4,,Elementary
bag,noun,,2000,,4,,Elementary
bake,verb,,2000,,4,,Elementary
bakery,noun,,2000,,4,,Elementary
balcony,noun,,2000,,4,,Elementary
banana,noun,,2000,,4,,Elementary
band,noun,,2000,,4,,Elementary
bank,noun,,2000,,4,,Elementary
baseball,noun,,2000,,4,,Elementary
basket,noun,,2000,,4,,Elementary
basketball,noun,,2000,,4,,Elementary
bat,noun,,2000,,4,,Elementary
bath,noun,,2000,,4,,Elementary
bathroom,noun,,2000,,4,,Elementary
be,verb,,2000,,4,0,Elementary
am,verb,,2000,,4,0,Elementary
is,verb,,2000,,,,Elementary
are,verb,,2000,,,,Elementary
was,,,2000,,,,
were,,,2000,,,,
been,,,2000,,,,
beach,noun,,2000,,4,,Elementary
bean,noun,,2000,,4,,Elementary
bear,noun,,2000,,4,,Elementary
beautiful,adj.,,2000,,4,,Elementary
because,conj.,,2000,,4,,Elementary
become,verb,,2000,,4,,Elementary
bed,noun,,2000,,4,,Elementary
bedroom,noun,,2000,,,,Elementary
bee,noun,,2000,,4,,Elementary
beef,noun,,2000,,4,,Elementary
before,prep./conj./adv.,,2000,,4,,Elementary
begin,verb,,2000,,4,,Elementary
behind,prep./adv.,,2000,,4,,Elementary
believe,verb,,2000,,4,,Elementary
bell,noun,,2000,,4,,Elementary
belong,verb,,2000,,4,,Elementary
below,adv./prep.,,2000,,4,,Elementary
belt,noun,,2000,,4,,Elementary
bench,noun,,2000,,4,,Elementary
beside,prep.,,2000,,4,,Elementary
between,prep.,,2000,,4,,Elementary
bicycle,noun,,2000,,4,,Elementary
big,adj.,,2000,,4,,Elementary
bird,noun,,2000,,4,,Elementary
birthday,noun,,2000,,4,,Elementary
bite,verb/noun,,2000,,4,,Elementary
black,adj./noun,,2000,,4,,Elementary
blackboard,noun,,2000,,4,,Elementary
blank,adj./noun,,2000,,4,,Elementary
blanket,noun,,2000,,4,,Elementary
blind,adj.,,2000,,4,,Elementary
block,noun/verb,,2000,,4,,Elementary
blow,verb/noun,,2000,,4,,Elementary
blue,adj./noun,,2000,,4,,Elementary
boat,noun,,2000,,4,,Elementary
body,noun,,2000,,4,,Elementary
boil,verb,,2000,,4,,Elementary
book,noun,,2000,,4,,Elementary
bookstore,noun,,2000,,,,Intermediate
bored,adj.,,2000,,,,Elementary
boring,adj.,,2000,,4,,Elementary
born,adj.,,2000,,4,,Elementary
borrow,verb,,2000,,4,,Elementary
boss,noun,,2000,,4,,Elementary
both,adv./adj./pron.,,2000,,4,0,Elementary
bottle,noun,,2000,,4,,Elementary
bottom,noun/adj.,,2000,,4,,Elementary
bow,noun,,2000,,4,,Intermediate
bowl,noun,,2000,,4,,Elementary
box,noun,,2000,,4,,Elementary
boy,noun,,2000,,4,,Elementary
brave,adj.,,2000,,4,,Elementary
bread,noun,,2000,,4,,Elementary
break,verb/noun,,2000,,4,,Elementary
breakfast,noun,,2000,,4,,Elementary
bridge,noun,,2000,,4,0,Elementary
bright,adj.,,2000,,4,,Elementary
bring,verb,,2000,,4,,Elementary
brother,noun,,2000,,4,,Elementary
brown,adj./noun,,2000,,4,,Elementary
brush,noun/verb,,2000,,4,,Elementary
bug,noun,,2000,,4,,Elementary
build,verb,,2000,,4,,Elementary
bun,noun,,2000,,,,Elementary
burn,verb,,2000,,4,,Elementary
bus,noun,,2000,,4,,Elementary
business,noun,,2000,,4,,Elementary
businessman,noun,,2000,,4,,Elementary
busy,adj.,,2000,,4,,Elementary
but,conj./prep.,,2000,,4,,Elementary
butter,noun,,2000,,4,,Elementary
butterfly,noun,,2000,,4,,Elementary
cake,noun,,2000,,4,,Elementary
call,verb/noun,,2000,,4,,Elementary
camera,noun,,2000,,4,,Elementary
camp,noun/verb,,2000,,4,,Elementary
can,aux.,,2000,,4,,Elementary
could,aux.,,2000,,4,,Elementary
candle,noun,,2000,,4,,Elementary
candy,noun,,2000,,4,,Elementary
cap,noun,,2000,,4,,Elementary
car,noun,,2000,,4,,Elementary
card,noun,,2000,,4,0,Elementary
care,noun/verb,,2000,,4,,Elementary
careful,adj.,,2000,,4,,Elementary
carry,verb,,2000,,4,,Elementary
case,noun,,2000,,4,,Elementary
castle,noun,,2000,,4,,Elementary
cat,noun,,2000,,4,,Elementary
catch,verb/noun,,2000,,4,,Elementary
