lemma,pos,GEPT-level,AWL-sublist
analyse,,int,AWL-1
analysed,,int,AWL-1
analyser,,int,AWL-1
analytic,,int,AWL-1
analytically,,int,AWL-1
analyzed,,int,AWL-1
approachable,,int,AWL-1
approached,,int,AWL-1
unapproachable,,int,AWL-1
assessable,,int,AWL-1
assessed,,int,AWL-1
reassessed,,int,AWL-1
reassessment,,int,AWL-1
unassessed,,int,AWL-1
assumed,,int,AWL-1
availability,,int,AWL-1
unavailable,,int,AWL-1
beneficiary,,int,AWL-1
benefited,,int,AWL-1
conceptual,,int,AWL-1
conceptualization,,int,AWL-1
conceptualize,,int,AWL-1
conceptualized,,int,AWL-1
conceptually,,int,AWL-1
consisted,,int,AWL-1
consistency,,int,AWL-1
consistently,,int,AWL-1
inconsistency,,int,AWL-1
inconsistent,,int,AWL-1
constituted,,int,AWL-1
constitutionally,,int,AWL-1
constitutive,,int,AWL-1
unconstitutional,,int,AWL-1
contextual,,int,AWL-1
contextualize,,int,AWL-1
contextualized,,int,AWL-1
uncontextualized,,int,AWL-1
contracted,,int,AWL-1
created,,int,AWL-1
creatively,,int,AWL-1
recreate,,int,AWL-1
recreated,,int,AWL-1
definable,,int,AWL-1
defined,,int,AWL-1
redefine,,int,AWL-1
redefined,,int,AWL-1
undefined,,int,AWL-1
derivation,,int,AWL-1
derivative,,int,AWL-1
derived,,int,AWL-1
distributional,,int,AWL-1
distributive,,int,AWL-1
redistribute,,int,AWL-1
redistributed,,int,AWL-1
redistribution,,int,AWL-1
economically,,int,AWL-1
uneconomical,,int,AWL-1
environmentally,,int,AWL-1
disestablish,,int,AWL-1
disestablished,,int,AWL-1
disestablishment,,int,AWL-1
estimated,,int,AWL-1
estimation,,int,AWL-1
over-estimate,,int,AWL-1
overestimate,,int,AWL-1
overestimated,,int,AWL-1
underestimated,,int,AWL-1
evidenced,,int,AWL-1
evidential,,int,AWL-1
exported,,int,AWL-1
exporter,,int,AWL-1
factored,,int,AWL-1
financed,,int,AWL-1
financially,,int,AWL-1
financier,,int,AWL-1
formulae,,int,AWL-1
formulated,,int,AWL-1
formulation,,int,AWL-1
reformulate,,int,AWL-1
reformulated,,int,AWL-1
reformulation,,int,AWL-1
functionally,,int,AWL-1
functioned,,int,AWL-1
identifiable,,int,AWL-1
identified,,int,AWL-1
unidentifiable,,int,AWL-1
indicated,,int,AWL-1
individualized,,int,AWL-1
individualism,,int,AWL-1
individualist,,int,AWL-1
individualistic,,int,AWL-1
individuality,,int,AWL-1
individually,,int,AWL-1
interpretative,,int,AWL-1
interpreted,,int,AWL-1
interpretive,,int,AWL-1
misinterpret,,int,AWL-1
misinterpretation,,int,AWL-1
misinterpreted,,int,AWL-1
reinterpret,,int,AWL-1
reinterpretation,,int,AWL-1
reinterpreted,,int,AWL-1
uninvolved,,int,AWL-1
issued,,int,AWL-1
labour,,int,AWL-1
labored,,int,AWL-1
laboured,,int,AWL-1
illegality,,int,AWL-1
illegally,,int,AWL-1
legality,,int,AWL-1
legally,,int,AWL-1
legislate,,int,AWL-1
legislated,,int,AWL-1
methodical,,int,AWL-1
methodological,,int,AWL-1
methodology,,int,AWL-1
occurred,,int,AWL-1
reoccur,,int,AWL-1
reoccurred,,int,AWL-1
periodically,,int,AWL-1
principled,,int,AWL-1
unprincipled,,int,AWL-1
procedural,,int,AWL-1
proceeded,,int,AWL-1
processed,,int,AWL-1
required,,int,AWL-1
researched,,int,AWL-1
responded,,int,AWL-1
respondent,,int,AWL-1
responsive,,int,AWL-1
unresponsive,,int,AWL-1
sectioned,,int,AWL-1
insignificant,,int,AWL-1
insignificantly,,int,AWL-1
significantly,,int,AWL-1
signified,,int,AWL-1
dissimilar,,int,AWL-1
similarly,,int,AWL-1
sourced,,int,AWL-1
specificity,,int,AWL-1
restructured,,int,AWL-1
structurally,,int,AWL-1
structured,,int,AWL-1
unstructured,,int,AWL-1
theoretically,,int,AWL-1
theorist,,int,AWL-1
