		[0, -1, 2]	['dummy entry: 0 easily confused with undefined', '', '']
a	a	[0, -1, 2]	['一(個)', '後接母音開頭之字時為 an', '']
A.M.	b	[0, -1, 2]	['上午', '= a.m.= AM', '']
abandon	v	[1, 45, 3]	['拋棄、捨棄、中止', '', 'abandon']
abandon	n	[1, 45, 3]	['盡情、放縱', '', 'abandon']
abbey	n	[2, -1, 2]	['大修道院', '', '']
abbreviate	v	[2, -1, 2]	['縮寫、使簡短', '', '']
abbreviation	n	[2, -1, 2]	['縮寫、簡稱', '', '']
abdomen	n	[2, -1, 2]	['腹部', '', '']
abide	v	[2, -1, 2]	['容忍、遵守', '', '']
ability	n	[0, -1, 2]	['能力、才能', '', '']
able	j	[0, -1, 2]	['能夠的、有才能的', '', '']
abnormal	j	[1, 39, 3]	['不正常的', '', 'normal']
aboard	pb	[1, -1, 2]	['在(交通工具)上', '', '']
abolish	v	[2, -1, 2]	['廢除', '', '']
aboriginal	jn	[2, -1, 2]	['土著的；土著', '', '']
aborigine	n	[2, -1, 2]	['原住民', '', '']
abortion	n	[2, -1, 2]	['流產、墮胎', '', '']
abound	v	[2, -1, 2]	['大量存在、富足', '', '']
about	pb	[0, -1, 2]	['大約、關於；大約、幾乎、在周圍', '', '']
above	pb	[0, -1, 2]	['在…上面、超過、大於', '', '']
above	bj	[0, -1, 2]	['上文、前文；前文述及的、上述的', '', '']
abroad	b	[0, -1, 2]	['在國外、到國外', '', '']
abrupt	j	[2, -1, 2]	['突然的、唐突的', '', '']
absence	n	[1, -1, 2]	['缺席、不在場', '', '']
absent	j	[0, -1, 2]	['缺席的、不在場的、心不在焉的', '', '']
absent-minded	j	[2, -1, 2]	['心不在焉的', '', '']
absolute	jn	[1, -1, 2]	['完全的、絕對的；絕對', '', '']
absorb	v	[1, -1, 2]	['吸收、併入', '', '']
abstract	jn	[1, 43, 3]	['抽象的', '', 'abstract']
abstract	n	[1, 43, 3]	['摘要', '', 'abstract']
abstraction	n	[2, 43, 3]	['抽象(概念)、抽取、提取', '', 'abstract']
absurd	jn	[2, -1, 2]	['荒謬的；荒誕(的事物)', '', '']
abundance	n	[2, -1, 2]	['大量、充裕', '', '']
abundant	j	[2, -1, 2]	['大量的', '', '']
abuse	nv	[1, -1, 2]	['濫用、虐待', '', '']
academic	j	[1, 42, 3]	['學術的、學業的', '', 'academy']
academy	n	[1, 42, 3]	['學院、學會', '', 'academy']
accelerate	v	[2, -1, 2]	['加速', '', '']
acceleration	n	[2, -1, 2]	['加速', '', '']
accent	n	[1, -1, 2]	['口音、腔調', '', '']
accept	v	[0, -1, 2]	['收受、接受(提議、邀請)、同意、接納', '', '']
acceptable	j	[1, -1, 2]	['可接受的、認可的', '', '']
acceptance	n	[1, -1, 2]	['接受、認可', '', '']
accepted	j	[1, -1, 2]	['公認的', '', '']
access	nv	[1, 41, 3]	['通道、進入(的權利)；存取、到達、進入', '', 'access']
accessible	j	[2, 41, 3]	['可到達的、可使用的、易理解的', '', 'access']
accessory	nj	[2, -1, 2]	['附件、配件；副的、輔助的', '', '']
accident	n	[0, -1, 2]	['意外事故', '', '']
accidental	j	[1, -1, 2]	['意外的、偶然的', '', '']
acclaim	vn	[2, -1, 2]	['稱譽、(給予)高度評價', '', '']
accommodate	v	[1, 46, 3]	['容納', '', 'accommodate']
