		[0]	dummy entry: 0 easily confused with undefined
animal	n	[3]	動物
bear	n	[3]	熊
bee	n	[3]	蜜蜂
bird	n	[3]	鳥
bite	v	[3]	咬
butterfly	n	[3]	蝴蝶
cat	n	[3]	貓
chicken	n	[3]	雞
cow	n	[3]	乳牛
dog	n	[3]	狗
duck	n	[3]	鴨子
elephant	n	[3]	大象
fish	n	[3]	魚
frog	n	[3]	青蛙
hippo	n	[3]	河馬
horse	n	[3]	馬
koala	n	[3]	無尾熊
lion	n	[3]	獅子
mice	n	[3]	老鼠(複數)
monkey	n	[3]	猴子
mouse	n	[3]	老鼠
panda	n	[3]	大貓熊
pet	n	[3]	寵物
pig	n	[3]	豬
rabbit	n	[3]	兔子
sheep	n	[3]	綿羊
snake	n	[3]	蛇
spider	n	[3]	蜘蛛
tiger	n	[3]	老虎
turtle	n	[3]	烏龜
whale	n	[3]	鯨魚
zebra	n	[3]	斑馬
a	a	[4]	一個
an	a	[4]	一個
every	d	[4]	每一個
her	d	[4]	她的
his	d	[4]	他的
its	d	[4]	它的、牠的
my	d	[4]	我的
our	d	[4]	我們的
that	d	[4]	那個
the	a	[4]	這
their	d	[4]	他們的
these	d	[4]	這些
this	d	[4]	這個
those	d	[4]	那些
your	d	[4]	你的、你們的
can	x	[5]	可以
be	x	[5]	是(is, am, are)
do	x	[5]	助動詞
have	x	[5]	助動詞
will	x	[5]	將會
bag	n	[6]	袋子
cap	n	[6]	棒球帽
clothes	n	[6]	衣服
coat	n	[6]	外套
dress	n	[6]	洋裝
glasses	n	[6]	眼鏡
hat	n	[6]	帽子
jacket	n	[6]	夾克外套
pants	n	[6]	長褲
pocket	n	[6]	口袋
shirt	n	[6]	襯衫
shoes	n	[6]	鞋子
shorts	n	[6]	短褲
skirt	n	[6]	裙子
socks	n	[6]	襪子
sweater	n	[6]	毛衣
T-shirt	n	[6]	T 恤
umbrella	n	[6]	傘
wear	v	[6]	穿、戴
black	j	[7]	黑色的
blue	j	[7]	藍色的
brown	j	[7]	咖啡色的
color	n	[7]	顏色
gray	j	[7]	灰色的
green	j	[7]	綠色的
orange	j	[7]	橘色的
pink	j	[7]	粉紅色的
purple	j	[7]	紫色的
red	j	[7]	紅色的
white	j	[7]	白色的
yellow	j	[7]	黃色的
and	c	[8]	和
because	c	[8]	因為
but	c	[8]	但是
aunt	n	[9]	阿姨、姑姑
brother	n	[9]	哥哥、弟弟
cousin	n	[9]	堂兄弟姊妹
dad	n	[9]	爸爸
daddy	n	[9]	爸爸
daughter	n	[9]	女兒
family	n	[9]	家庭、家人
father	n	[9]	爸爸
grandfather	n	[9]	外公、爺爺
grandma	n	[9]	外婆、奶奶
grandmother	n	[9]	外婆、奶奶
grandpa	n	[9]	外公、爺爺
grow	v	[9]	成長、長大
live	v	[9]	住
mom	n	[9]	媽媽
mommy	n	[9]	媽媽
mother	n	[9]	媽媽
parent	n	[9]	父母親
sister	n	[9]	姐姐、妹妹
son	n	[9]	兒子
uncle	n	[9]	叔叔、舅舅
apple	n	[10]	蘋果
banana	n	[10]	香蕉
beef	n	[10]	牛肉
bread	n	[10]	麵包
breakfast	n	[10]	早餐
cake	n	[10]	蛋糕
candy	n	[10]	糖果
chicken	n	[10]	雞肉
chocolate	n	[10]	巧克力
coffee	n	[10]	咖啡
cola	n	[10]	可樂
coke	n	[10]	可樂
cook	n	[10]	廚師
cookies	n	[10]	餅乾
dinner	n	[10]	晚餐
drink	v	[10]	喝
duck	n	[10]	鴨肉
dumpling	n	[10]	水餃
eat	v	[10]	吃
egg	n	[10]	蛋
fish	n	[10]	魚肉
food	n	[10]	食物
French fries	n	[10]	薯條
fruit	n	[10]	水果
full	j	[10]	飽的
grape	n	[10]	葡萄
hamburger	n	[10]	漢堡
hungry	j	[10]	餓的
ice cream	n	[10]	冰淇淋
juice	n	[10]	果汁
lemon	n	[10]	檸檬
lunch	n	[10]	午餐
meal	n	[10]	餐
milk	n	[10]	牛奶
noodles	n	[10]	麵
orange	n	[10]	橘子
peach	n	[10]	桃子
pie	n	[10]	派
pizza	n	[10]	披薩
pork	n	[10]	豬肉
pumpkin	n	[10]	南瓜
rice	n	[10]	米飯
salad	n	[10]	沙拉
sandwich	n	[10]	三明治
soup	n	[10]	湯
strawberry	n	[10]	草莓
sweet	j	[10]	甜的
taste	v	[10]	嚐起來
tea	n	[10]	茶
thirsty	j	[10]	口渴的
water	n	[10]	水
watermelon	n	[10]	西瓜
yummy	j	[10]	美味的
Miss	n	[11]	小姐
Mr.	n	[11]	先生
Mrs.	n	[11]	太太
name	n	[11]	名字
beach	n	[12]	海灘
lake	n	[12]	湖
mountain	n	[12]	山
river	n	[12]	河流
sea	n	[12]	大海
cold	n	[13]	感冒
headache	n	[13]	頭痛
sick	j	[13]	生病的
strong	j	[13]	強壯的
tired	j	[13]	疲累的
toothache	n	[13]	牙痛
well	jb	[13]	好的；健康地
Christmas	n	[14]	聖誕節
Dragon Boat Festival	n	[14]	端午節
Easter	n	[14]	復活節
Halloween	n	[14]	萬聖節
Moon Festival	n	[14]	中秋節
bathroom	n	[15]	浴室
bed	n	[15]	床
bedroom	n	[15]	臥房
chair	n	[15]	椅子
clean	j	[15]	乾淨的
clean	v	[15]	清理
computer	n	[15]	電腦
desk	n	[15]	桌子
dining room	n	[15]	(家裡的)餐廳
door	n	[15]	門
fan	n	[15]	電扇
floor	n	[15]	地板
fridge	n	[15]	電冰箱
garden	n	[15]	院子、花園
home	n	[15]	家庭
house	n	[15]	房子
key	n	[15]	鑰匙
kitchen	n	[15]	廚房
lamp	n	[15]	燈
living room	n	[15]	客廳
mop	v	[15]	用拖把拖地
refrigerator	n	[15]	電冰箱
shelf	n	[15]	架子
shower	n	[15]	淋浴
sofa	n	[15]	沙發
street	n	[15]	街道
sweep	v	[15]	掃
table	n	[15]	桌子
telephone	n	[15]	電話
television	n	[15]	電視
towel	n	[15]	毛巾
TV	n	[15]	電視
wall	n	[15]	牆壁
wash	v	[15]	洗
window	n	[15]	窗戶
bye	i	[16]	再見
excuse me	i	[16]	不好意思
goodbye	i	[16]	再見
hello	i	[16]	哈囉、嗨
hi	i	[16]	哈囉、嗨
please	i	[16]	請
buy	v	[17]	買
dollar	n	[17]	元
free	j	[17]	免費的
money	n	[17]	錢
all	d	[18]	全部的
both	d	[18]	兩個都
eight	m	[18]	八
eighteen	m	[18]	十八
eighty	m	[18]	八十
eleven	m	[18]	十一
fifteen	m	[18]	十五
fifty	m	[18]	五十
first	m	[18]	第一
five	m	[18]	五
forty	m	[18]	四十
four	m	[18]	四
fourteen	m	[18]	十四
hundred	m	[18]	一百
last	dj	[18]	最後的
many	dj	[18]	許多
more	db	[18]	較多
much	db	[18]	許多
nine	m	[18]	九
nineteen	m	[18]	十九
ninety	m	[18]	九十
number	n	[18]	數字
one	m	[18]	一
second	m	[18]	第二
seven	m	[18]	七
seventeen	m	[18]	十七
seventy	m	[18]	七十
six	m	[18]	六
sixteen	m	[18]	十六
sixty	m	[18]	六十
some	d	[18]	一些
ten	m	[18]	十
third	m	[18]	第三
thirteen	m	[18]	十三
thirty	m	[18]	三十
three	m	[18]	三
twelve	m	[18]	十二
twenty	m	[18]	二十
two	m	[18]	二
zero	m	[18]	零
actor	n	[19]	男演員
actress	n	[19]	女演員
cook	v	[19]	做飯
doctor	n	[19]	醫生
driver	n	[19]	司機、駕駛員
farmer	n	[19]	農夫
job	n	[19]	工作、職業
mailman	n	[19]	郵差
nurse	n	[19]	護士
police officer	n	[19]	警察
singer	n	[19]	歌手
soldier	n	[19]	軍人
waiter	n	[19]	男服務生
waitress	n	[19]	女服務生
work	n	[19]	工作
worker	n	[19]	工作者
cool	j	[20]	清涼的
