		[0, -1, 2]	dummy entry: 0 easily confused with undefined|
a	art.	[0, -1, 2]	一(個); 後接母音開頭之字時為 an
A.M.	adv.	[0, -1, 2]	上午; = a.m.= AM
abandon	verb	[1, 45, 3]	拋棄、捨棄、中止; ; |abandon
abandon	noun	[1, 45, 3]	盡情、放縱; ; 拋棄、捨棄、中止; ; |abandon
abbey	noun	[2, -1, 2]	大修道院; 
abbreviate	verb	[2, -1, 2]	縮寫、使簡短; 
abbreviation	noun	[2, -1, 2]	縮寫、簡稱; 
abdomen	noun	[2, -1, 2]	腹部; 
abide	verb	[2, -1, 2]	容忍、遵守; 
ability	noun	[0, -1, 2]	能力、才能; 
able	adj.	[0, -1, 2]	能夠的、有才能的; 
abnormal	adj.	[1, 39, 3]	不正常的; ; |normal
aboard	prep./adv.	[1, -1, 2]	在(交通工具)上; 
abolish	verb	[2, -1, 2]	廢除; 
aboriginal	adj./noun	[2, -1, 2]	土著的；土著; 
aborigine	noun	[2, -1, 2]	原住民; 
abortion	noun	[2, -1, 2]	流產、墮胎; 
abound	verb	[2, -1, 2]	大量存在、富足; 
about	prep./adv.	[0, -1, 2]	大約、關於；大約、幾乎、在周圍; 
above	prep./adv.	[0, -1, 2]	在…上面、超過、大於; 
above	adv./adj.	[0, -1, 2]	上文、前文；前文述及的、上述的; 
abroad	adv.	[0, -1, 2]	在國外、到國外; 
abrupt	adj.	[2, -1, 2]	突然的、唐突的; 
absence	noun	[1, -1, 2]	缺席、不在場; 
absent	adj.	[0, -1, 2]	缺席的、不在場的、心不在焉的; 
absent-minded	adj.	[2, -1, 2]	心不在焉的; 
absolute	adj./noun	[1, -1, 2]	完全的、絕對的；絕對; 
absorb	verb	[1, -1, 2]	吸收、併入; 
abstract	adj./noun	[1, 43, 3]	抽象的; ; |abstract
abstract	noun	[1, 43, 3]	摘要; ; 抽象的; ; |abstract
abstraction	noun	[2, 43, 3]	抽象(概念)、抽取、提取; ; |abstract
absurd	adj./noun	[2, -1, 2]	荒謬的；荒誕(的事物); 
abundance	noun	[2, -1, 2]	大量、充裕; 
abundant	adj.	[2, -1, 2]	大量的; 
