字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
a	art.	一(個)	後接母音開頭之字時為 an	初級		1200	L1
A.M.	adv.	上午	= a.m.= AM	初級		1200	L1
abandon	verb	拋棄、捨棄、中止		中級	L8		L4
abandon	noun	盡情、放縱		中級	L8		L4
abbey	noun	大修道院		中高級
abbreviate	verb	縮寫、使簡短		中高級			L6
abbreviation	noun	縮寫、簡稱		中高級
abdomen	noun	腹部		中高級
abide	verb	容忍、遵守		中高級			L6
ability	noun	能力、才能		初級			L1
able	adj.	能夠的、有才能的		初級		1200	L1
abnormal	adj.	不正常的		中級	L2		L5
aboard	prep./adv.	在(交通工具)上		中級			L3
abolish	verb	廢除		中高級			L5
aboriginal	adj./noun	土著的；土著		中高級			L6
aborigine	noun	原住民		中高級
abortion	noun	流產、墮胎		中高級			L5
abound	verb	大量存在、富足		中高級			L6
about	prep./adv.	大約、關於；大約、幾乎、在周圍		初級		1200	L1
above	prep./adv.	在…上面、超過、大於		初級		1200	L1
above	adv./adj.	上文、前文；前文述及的、上述的		初級		1200	L1
abroad	adv.	在國外、到國外		初級		1200	L1
abrupt	adj.	突然的、唐突的		中高級			L5
absence	noun	缺席、不在場		中級			L2
absent	adj.	缺席的、不在場的、心不在焉的		初級		800	L2
absent-minded	adj.	心不在焉的		中高級
absolute	adj./noun	完全的、絕對的；絕對		中級			L4
absorb	verb	吸收、併入		中級			L4
abstract	adj./noun	抽象的		中級	L6		L4
abstract	noun	摘要		中級	L6		L4
abstraction	noun	抽象(概念)、抽取、提取		中高級	L6		L6
absurd	adj./noun	荒謬的；荒誕(的事物)		中高級			L5
abundance	noun	大量、充裕		中高級			L6
abundant	adj.	大量的		中高級			L5
abuse	noun/verb	濫用、虐待		中級			L5
academic	adj.	學術的、學業的		中級			L4
academy	noun	學院、學會		中級	L5		L6
accelerate	verb	加速		中高級			L5
acceleration	noun	加速		中高級
accent	noun	口音、腔調		中級			L4
accept	verb	收受、接受(提議、邀請)、同意、接納		初級		800	L2
acceptable	adj.	可接受的、認可的		中級			L3
acceptance	noun	接受、認可		中級			L4
accepted	adj.	公認的		中級
access	noun/verb	通道、進入(的權利)；存取、到達、進入		中級	L4		L4
accessible	adj.	可到達的、可使用的、易理解的		中高級			L5
accessory	noun/adj.	附件、配件；副的、輔助的		中高級			L6
accident	noun	意外事故		初級		800	L2
accidental	adj.	意外的、偶然的		中級			L4
acclaim	verb/noun	稱譽、(給予)高度評價		中高級			L6
accommodate	verb	容納		中級	L9		L5
accommodation	noun	住宿、停留處		中級			L5
accompany	verb	陪同、伴隨		中級	L8		L4
accomplish	verb	完成		中級			L4
accomplished	adj.	技藝高超的、有才華的		中高級
accord	verb	贈予、授予、(與...)一致		中級			L5
accord	noun	協議、條約		中級			L5
accordance	noun	依照、依據		中高級			L6
accordingly	adv.	相應地、因此		中高級			L6
account	noun	帳戶、帳號、敘述		中級			L2
account	verb	視為、解釋、(數量或比例上)佔		中級			L2
accountable	adj.	應負責任的		中高級			L6
accountant	noun	會計師		中級			L4
accounting	noun	會計		中高級			L5
accumulate	verb	累積、逐漸增加		中高級	L8		L6
accumulation	noun	累積		中高級			L6
accuracy	noun	準確(度)		中級	L6		L4
accurate	adj.	正確的、精準的		中級	L6		L3
accusation	noun	控告、指控		中高級			L6
accuse	verb	指控		中級			L4
accustom	verb	使習慣於		中高級			L6
accustomed	adj.	習慣於		中高級
ace	noun	A紙牌、擅長...的人、(網球)發球得分		中高級
ace	adj.	第一流的、極好的		中高級
ace	verb	表現得很好		中高級
ache	noun/verb	疼痛		中級			L3
achieve	verb	達到、完成、實現		初級	L2		L3
achievement	noun	成就、成績		中級			L3
acid	noun/adj.	酸；酸(性)的		中級			L4
acknowledge	verb	承認、告知、致意、感謝		中高級	L6		L5
acne	noun	痤瘡、粉刺		中高級			L6
acoustic	adj.	聲音的、聽覺的、(樂器)原聲的		中高級
acoustic	noun	(建築物、房間的)傳音效果、音響效果		中高級
acquaint	verb	使熟悉、使了解		中級			L5
acquaintance	noun	認識的人、交情、(對事物的)了解		中級			L4
acquire	verb	獲得、購得		中級	L2		L4
acquisition	noun	獲得、獲得物		中高級			L5
acre	noun	英畝		中級			L6
across	prep./adv.	橫過、在對面		初級		1200	L1
across	prep.	在...各處、遍及		初級		1200	L1
act	noun/verb	表演者、(戲劇的)幕；演出、扮演		初級		1200	L1
act	noun/verb	行為、作為；行事、表現		初級		1200	L1
acting	adj.	臨時代理的		中高級
