*lemma	level
absent	2
accept	2
accident	2
active	2
activity	2
add	2
address	2
admire	2
adult	2
advertisement	2
advice	2
advise	2
affect	2
against	2
aim	2
air conditioner	2
airline	2
alarm	2
album	2
alike	2
alive	2
alone	2
aloud	2
alphabet	2
altogether	2
ambulance	2
among	2
amount	2
ancient	2
angel	2
anger	2
ankle	2
anywhere	2
apologize	2
appreciate	2
argue	2
armchair	2
army	2
arrange	2
artist	2
asleep	2
assistant	2
assume	2
attention	2
available	2
avoid	2
baby sitter	2
backpack	2
backward	2
ball	2
balloon	2
barbecue	2
barber	2
bark	2
base	2
basement	2
basic	2
bathe	2
beard	2
beat	2
beauty	2
beer	2
beginner	2
beginning	2
behave	2
besides	2
beyond	2
bill	2
biology	2
bitter	2
blame	2
bless	2
blood	2
blouse	2
board	2
bomb	2
bone	2
bookcase	2
bother	2
bowling	2
branch	2
brick	2
broad	2
broadcast	2
brunch	2
bucket	2
buffet	2
building	2
bundle	2
burger	2
burst	2
cabbage	2
cable	2
cafeteria	2
cage	2
calendar	2
calm	2
campus	2
cancel	2
cancer	2
captain	2
careless	2
carpet	2
carrot	2
cartoon	2
cash	2
cause	2
ceiling	2
central	2
century	2
cereal	2
certain	2
channel	2
character	2
charge	2
chart	2
chase	2
chemistry	2
chess	2
childhood	2
childish	2
childlike	2
chin	2
chubby	2
classical	2
clever	2
climate	2
closet	2
coach	2
coast	2
cockroach	2
coin	2
cola	2
college	2
colorful	2
command	2
comment	2
company	2
compare	2
complain	2
complete	2
concern	2
confident	2
confuse	2
congratulation	2
consider	2
considerate	2
contact lens	2
continue	2
contract	2
control	2
convenience store	2
conversation	2
corn	2
cotton	2
cough	2
couple	2
courage	2
court	2
cowboy	2
crab	2
crayon	2
cream	2
create	2
credit card	2
crime	2
crowd	2
crowded	2
cruel	2
culture	2
cure	2
curious	2
current	2
curtain	2
curve	2
custom	2
customer	2
daily	2
damage	2
danger	2
dawn	2
deaf	2
debate	2
decision	2
decorate	2
decrease	2
deer	2
degree	2
deliver	2
department	2
depend	2
describe	2
desert	2
design	2
desire	2
dessert	2
detect	2
develop	2
dial	2
diamond	2
diary	2
diet	2
difference	2
difficulty	2
diligent	2
diplomat	2
dinosaur	2
direct	2
direction	2
disappear	2
discover	2
discuss	2
discussion	2
dishonest	2
distance	2
distant	2
divide	2
dizzy	2
dodge ball	2
dolphin	2
donkey	2
double	2
doubt	2
doughnut	2
downstairs	2
downtown	2
dragon	2
drama	2
dresser	2
drugstore	2
dryer	2
dumb	2
dumpling	2
duty	2
eagle	2
earn	2
earring	2
ease	2
edge	2
education	2
effort	2
elder	2
elect	2
electric	2
embarrass	2
emotion	2
emphasize	2
employ	2
empty	2
enemy	2
energetic	2
energy	2
engine	2
entrance	2
environment	2
envy	2
equal	2
especially	2
event	2
everywhere	2
evil	2
exam	2
excite	2
exist	2
