a	a	[['0'], [], ['4'], ['1'], ['1']]	
a.m.	b	[['0'], [], [], ['1'], ['1']]	
abandon	n	[['1'], [], [], [], []]	['盡情、放縱', '', '']
abandon	v	[['1'], ['8'], [], ['4'], []]	
abandonment	n	[[], ['8'], [], [], []]	abandon
abbey	n	[['2'], [], [], [], []]	['大修道院', '', '']
abbreviate	v	[['2'], [], [], ['6'], []]	
abbreviation	n	[['2'], [], [], [], []]	['縮寫、簡稱', '', '']
abdomen	n	[['2'], [], [], [], []]	['腹部', '', '']
abide	v	[['2'], [], [], ['6'], []]	
ability	n	[['0'], [], [], ['1'], []]	
able	j	[['0'], [], [], ['1'], ['1']]	
abnormal	j	[['1'], ['2'], [], ['5'], []]	
abnormally	b	[[], ['2'], [], [], []]	normal
aboard	bp	[['1'], [], [], ['3'], []]	
abolish	v	[['2'], [], [], ['5'], []]	
aboriginal	jn	[['2'], [], [], ['6'], []]	
aborigine	n	[['2'], [], [], [], []]	['原住民', '', '']
abortion	n	[['2'], [], [], ['5'], []]	
abound	v	[['2'], [], [], ['6'], []]	
about	bp	[['0'], [], [], ['1'], ['1']]	
about	p	[[], [], ['28'], [], []]	['大約；關於', '', '']
above	bj	[['0'], [], [], [], ['1']]	
above	bjp	[[], [], [], ['1'], []]	
above	bp	[['0'], [], [], [], ['1']]	
abroad	b	[['0'], [], [], ['1'], ['1']]	
abrupt	j	[['2'], [], [], ['5'], []]	
absence	n	[['1'], [], [], ['2'], []]	
absent	j	[['0'], [], [], [], ['2']]	
absent	jv	[[], [], [], ['2'], []]	
absent-minded	j	[['2'], [], [], [], []]	['心不在焉的', '', '']
absolute	j	[[], [], [], ['4'], []]	
absolute	jn	[['1'], [], [], [], []]	['完全的、絕對的；絕對', '', '']
absorb	v	[['1'], [], [], ['4'], []]	
abstract	j	[[], [], [], ['4'], []]	
abstract	jn	[['1'], [], [], [], []]	['抽象的', '', '']
abstract	jnv	[[], ['6'], [], [], []]	abstract
abstract	n	[['1'], [], [], [], []]	['摘要', '', '']
abstraction	n	[['2'], ['6'], [], ['6'], []]	
abstractly	b	[[], ['6'], [], [], []]	abstract
absurd	j	[[], [], [], ['5'], []]	
absurd	jn	[['2'], [], [], [], []]	['荒謬的；荒誕(的事物)', '', '']
abundance	n	[['2'], [], [], ['6'], []]	
abundant	j	[['2'], [], [], ['5'], []]	
abuse	nv	[['1'], [], [], ['5'], []]	
academia	n	[[], ['5'], [], [], []]	academy
academic	j	[['1'], [], [], ['4'], []]	
academic	jn	[[], ['5'], [], [], []]	academy
academically	b	[[], ['5'], [], [], []]	academy
academy	n	[['1'], ['5'], [], ['6'], []]	
accelerate	v	[['2'], [], [], ['5'], []]	
acceleration	n	[['2'], [], [], [], []]	['加速', '', '']
accent	n	[['1'], [], [], ['4'], []]	
accept	v	[['0'], [], [], ['2'], ['2']]	
acceptable	j	[['1'], [], [], ['3'], []]	
acceptance	n	[['1'], [], [], ['4'], []]	
accepted	j	[['1'], [], [], [], []]	['公認的', '', '']
access	nv	[['1'], ['4'], [], ['4'], []]	
accessibility	n	[[], ['4'], [], [], []]	access
accessible	j	[['2'], ['4'], [], ['5'], []]	
accessory	jn	[['2'], [], [], ['6'], []]	
accident	n	[['0'], [], [], ['2'], ['2']]	
accidental	j	[['1'], [], [], ['4'], []]	
acclaim	nv	[['2'], [], [], ['6'], []]	
accommodate	v	[['1'], ['9'], [], ['5'], []]	
accommodating	j	[[], ['9'], [], [], []]	accommodate
accommodation	n	[['1'], ['9'], [], ['5'], []]	
accompaniment	n	[[], ['8'], [], [], []]	accompany
accompany	v	[['1'], ['8'], [], ['4'], []]	
accompanying	j	[[], ['8'], [], [], []]	accompany
accomplish	v	[['1'], [], [], ['4'], []]	
accomplished	j	[['2'], [], [], [], []]	['技藝高超的、有才華的', '', '']
accomplishment	n	[[], [], [], ['4'], []]	
accord	n	[['1'], [], [], [], []]	['協議、條約', '', '']
accord	nv	[[], [], [], ['5'], []]	
accord	v	[['1'], [], [], [], []]	['贈予、授予、(與...)一致', '', '']
accordance	n	[['2'], [], [], ['6'], []]	
accordingly	b	[['2'], [], [], ['6'], []]	
