a	a	0	['一(個)', '後接母音開頭之字時為 an', '']
a.m.	b	0	['上午', '= a.m.= AM', '']
abandon	n	1	['盡情、放縱', '', '']
abandon	v	1	['拋棄、捨棄、中止', '', '']
abbey	n	2	['大修道院', '', '']
abbreviate	v	2	['縮寫、使簡短', '', '']
abbreviation	n	2	['縮寫、簡稱', '', '']
abdomen	n	2	['腹部', '', '']
abide	v	2	['容忍、遵守', '', '']
ability	n	0	['能力、才能', '', '']
able	j	0	['能夠的、有才能的', '', '']
abnormal	j	1	['不正常的', '', '']
aboard	bp	1	['在(交通工具)上', '', '']
abolish	v	2	['廢除', '', '']
aboriginal	jn	2	['土著的；土著', '', '']
aborigine	n	2	['原住民', '', '']
abortion	n	2	['流產、墮胎', '', '']
abound	v	2	['大量存在、富足', '', '']
about	bp	0	['大約、關於；大約、幾乎、在周圍', '', '']
above	bj	0	['上文、前文；前文述及的、上述的', '', '']
above	bp	0	['在…上面、超過、大於', '', '']
abroad	b	0	['在國外、到國外', '', '']
abrupt	j	2	['突然的、唐突的', '', '']
absence	n	1	['缺席、不在場', '', '']
absent	j	0	['缺席的、不在場的、心不在焉的', '', '']
absent-minded	j	2	['心不在焉的', '', '']
absolute	jn	1	['完全的、絕對的；絕對', '', '']
absorb	v	1	['吸收、併入', '', '']
abstract	jn	1	['抽象的', '', '']
abstract	n	1	['摘要', '', '']
abstraction	n	2	['抽象(概念)、抽取、提取', '', '']
absurd	jn	2	['荒謬的；荒誕(的事物)', '', '']
abundance	n	2	['大量、充裕', '', '']
abundant	j	2	['大量的', '', '']
abuse	nv	1	['濫用、虐待', '', '']
academic	j	1	['學術的、學業的', '', '']
academy	n	1	['學院、學會', '', '']
accelerate	v	2	['加速', '', '']
acceleration	n	2	['加速', '', '']
accent	n	1	['口音、腔調', '', '']
accept	v	0	['收受、接受(提議、邀請)、同意、接納', '', '']
acceptable	j	1	['可接受的、認可的', '', '']
acceptance	n	1	['接受、認可', '', '']
accepted	j	1	['公認的', '', '']
access	nv	1	['通道、進入(的權利)；存取、到達、進入', '', '']
accessible	j	2	['可到達的、可使用的、易理解的', '', '']
accessory	jn	2	['附件、配件；副的、輔助的', '', '']
accident	n	0	['意外事故', '', '']
accidental	j	1	['意外的、偶然的', '', '']
acclaim	nv	2	['稱譽、(給予)高度評價', '', '']
accommodate	v	1	['容納', '', '']
accommodation	n	1	['住宿、停留處', '', '']
accompany	v	1	['陪同、伴隨', '', '']
accomplish	v	1	['完成', '', '']
accomplished	j	2	['技藝高超的、有才華的', '', '']
accord	n	1	['協議、條約', '', '']
accord	v	1	['贈予、授予、(與...)一致', '', '']
accordance	n	2	['依照、依據', '', '']
accordingly	b	2	['相應地、因此', '', '']
account	n	1	['帳戶、帳號、敘述', '', '']
account	v	1	['視為、解釋、(數量或比例上)佔', '', '']
accountable	j	2	['應負責任的', '', '']
accountant	n	1	['會計師', '', '']
accounting	n	2	['會計', '', '']
accumulate	v	2	['累積、逐漸增加', '', '']
accumulation	n	2	['累積', '', '']
accuracy	n	1	['準確(度)', '', '']
accurate	j	1	['正確的、精準的', '', '']
accusation	n	2	['控告、指控', '', '']
accuse	v	1	['指控', '', '']
accustom	v	2	['使習慣於', '', '']
accustomed	j	2	['習慣於', '', '']
ace	j	2	['第一流的、極好的', '', '']
ace	n	2	['A紙牌、擅長...的人、(網球)發球得分', '', '']
ace	v	2	['表現得很好', '', '']
ache	nv	1	['疼痛', '', '']
achieve	v	0	['達到、完成、實現', '', '']
achievement	n	1	['成就、成績', '', '']
acid	jn	1	['酸；酸(性)的', '', '']
acknowledge	v	2	['承認、告知、致意、感謝', '', '']
acne	n	2	['痤瘡、粉刺', '', '']
acoustic	j	2	['聲音的、聽覺的、(樂器)原聲的', '', '']
acoustic	n	2	['(建築物、房間的)傳音效果、音響效果', '', '']
acquaint	v	1	['使熟悉、使了解', '', '']
acquaintance	n	1	['認識的人、交情、(對事物的)了解', '', '']
acquire	v	1	['獲得、購得', '', '']
acquisition	n	2	['獲得、獲得物', '', '']
acre	n	1	['英畝', '', '']
across	bp	0	['橫過、在對面', '', '']
across	p	0	['在...各處、遍及', '', '']
act	nv	0	['行為、作為；行事、表現', '', '']
act	nv	0	['表演者、(戲劇的)幕；演出、扮演', '', '']
acting	j	2	['臨時代理的', '', '']
action	n	0	['行動、行為、動作', '', '']
activate	v	2	['使活動、活化', '', '']
active	j	0	['活躍的、積極的', '', '']
activist	n	2	['活躍份子', '', '']
activity	n	0	['活動', '', '']
actor	n	0	['演員', '', '']
actress	n	0	['女演員', '', '']
actual	j	1	['實際的、真正的', '', '']
actually	b	0	['實際上、事實上', '', '']
acute	j	2	['嚴重的、(病痛)急性的、靈敏的', '', '']
acute	n	2	['銳音符', '', '']
adapt	v	1	['(使)適應、改編', '', '']
adaptation	n	2	['改編、適應', '', '']
add	v	0	['加上、增加、補充說', '', '']
addict	n	2	['成癮者、入迷的人', '', '']
addicted	j	2	['上癮的、入迷的', '', '']
addiction	n	2	['上癮、入迷', '', '']
addition	n	0	['加法、添加、增加的人或物', '', '']
additional	j	1	['額外的、附加的', '', '']
additive	j	2	['附加的', '', '']
additive	n	2	['(尤指食品的)添加物', '', '']
address	n	0	['地址、網址、位址；演講、演說', '', '']
address	v	1	['對...講話、發表演說；處理、應對', '', '']
adequate	j	1	['足夠的、合格的', '', '']
adhere	v	2	['附著、遵循', '', '']
adjacent	j	2	['毗連的、鄰近的', '', '']
adjective	n	1	['形容詞', '= adj.', '']
adjoin	v	2	['毗連、鄰接', '', '']
adjust	v	1	['調整；適應；整理(衣著)', '', '']
adjustment	n	2	['調整、適應', '', '']
administer	v	2	['管理、執行；給予、施行', '', '']
administration	n	1	['管理(部門)、行政(部門)；施行、施用', '', '']
administrative	j	2	['管理的、行政的', '', '']
administrator	n	2	['管理人員、行政人員', '', '']
admirable	j	1	['可欽佩的、值得讚賞的', '', '']
admiral	n	2	['海軍上將、艦隊司令', '', '']
admiration	n	1	['欽佩、仰慕、讚賞', '', '']
admire	v	0	['欽佩、欣賞', '', '']
admission	n	1	['承認、招認；入場費；允許進入', '', '']
admit	v	0	['承認；准許進入', '', '']
adolescence	n	2	['青春期', '', '']
adolescent	jn	2	['青春期的；青少年', '', '']
adopt	v	0	['領養、接受、採納', '', '']
adore	v	2	['熱愛、愛慕', '', '']
adult	jn	0	['成年人；成年的、成熟的、僅限成人的', '', '']
adulthood	n	2	['成年', '', '']
