a	a	2	['一個', '', '']
about	p	26	['大約；關於', '', '']
actor	n	17	['男演員', '', '']
actress	n	17	['女演員', '', '']
after	p	26	['在…之後', '', '']
afternoon	n	32	['下午', '', '']
again	b	19	['再一次', '', '']
airplane	n	33	['飛機', '', '']
airport	n	33	['機場', '', '']
all	d	16	['全部的', '', '']
always	b	19	['總是、永遠', '', '']
an	a	2	['一個', '', '']
and	c	6	['和', '', '']
angry	j	24	['生氣的', '', '']
animal	n	1	['動物', '', '']
answer	v	28	['回答', '', '']
apple	n	8	['蘋果', '', '']
april	n	32	['四月', '', '']
arm	n	22	['手臂', '', '']
art	n	28	['美術、藝術', '', '']
ask	v	28	['問', '', '']
at	p	26	['在(某處、時刻)', '', '']
august	n	32	['八月', '', '']
aunt	n	7	['阿姨、姑姑', '', '']
away	b	19	['離開', '', '']
baby	n	23	['嬰兒', '', '']
back	b	25	['向後、回原處', '', '']
back	n	22	['背', '', '']
bad	j	24	['壞的', '', '']
bag	n	4	['袋子', '', '']
ball	n	30	['球', '', '']
banana	n	8	['香蕉', '', '']
bank	n	25	['銀行', '', '']
baseball	n	30	['棒球', '', '']
basketball	n	30	['籃球', '', '']
bathroom	n	13	['浴室', '', '']
be	x	3	['是(is, am, are)', '', '']
beach	n	10	['海灘', '', '']
bear	n	1	['熊', '', '']
beautiful	j	24	['美麗的', '', '']
because	c	6	['因為', '', '']
bed	n	13	['床', '', '']
bedroom	n	13	['臥房', '', '']
bee	n	1	['蜜蜂', '', '']
beef	n	8	['牛肉', '', '']
before	cp	26	['在…之前', '', '']
behind	p	26	['在…後面', '', '']
bicycle	n	33	['腳踏車', '', '']
big	j	29	['大的', '', '']
bike	n	33	['腳踏車', '', '']
bird	n	1	['鳥', '', '']
birthday	n	20	['生日', '', '']
bite	v	1	['咬', '', '']
black	j	5	['黑色的', '', '']
blackboard	n	28	['黑板', '', '']
blue	j	5	['藍色的', '', '']
boat	n	33	['船', '', '']
book	n	28	['書、書本', '', '']
bookstore	n	25	['書店', '', '']
bored	j	24	['覺得無聊的', '', '']
boring	j	24	['令人無聊的', '', '']
both	d	16	['兩個都', '', '']
bottle	n	20	['瓶子', '', '']
box	n	20	['箱子', '', '']
boy	n	23	['男孩', '', '']
bread	n	8	['麵包', '', '']
breakfast	n	8	['早餐', '', '']
brother	n	7	['哥哥、弟弟', '', '']
brown	j	5	['咖啡色的', '', '']
brush	v	21	['用刷子刷', '', '']
bus	n	33	['公車', '', '']
bus stop	n	33	['公車站', '', '']
busy	j	24	['忙碌的', '', '']
