a	a	1
a.m.	b	1
able	j	1
about	bp	1
above	bp	1
above	bj	1
abroad	b	1
absent	j	2
accept	v	2
accident	n	2
across	bp	1
across	p	1
act	nv	1
action	n	1
active	j	2
activity	n	2
actor	n	1
actress	n	1
actually	b	1
add	v	2
address	n	2
address	v	2
admire	v	2
adult	jn	2
advertisement	n	2
advice	n	2
advise	v	2
affect	v	2
afraid	j	1
after	bcp	1
afternoon	n	1
again	b	1
against	p	2
age	n	1
age	v	1
ago	b	1
agree	v	1
ahead	b	1
aim	nv	2
air	n	1
air conditioner	n	2
airline	n	2
airplane	n	1
airport	n	1
alarm	n	2
album	n	2
alike	bj	2
alive	j	2
all	bjr	1
allow	v	1
almost	b	1
alone	bj	2
along	p	1
along	b	1
aloud	b	2
alphabet	n	2
already	b	1
also	b	1
although	c	1
altogether	b	2
always	b	1
am	v	1
ambulance	n	2
america	n	1
american	jn	1
among	p	2
amount	n	2
an	a	1
ancient	j	2
and	c	1
angel	n	2
anger	n	2
angle	n	1
angry	j	1
animal	n	1
ankle	n	2
another	jr	1
answer	nv	1
ant	n	1
any	jr	1
any	b	1
anybody	r	1
anyone	r	1
anything	r	1
anywhere	b	2
apartment	n	1
apologize	v	2
appear	v	1
apple	n	1
appreciate	v	2
april	n	1
are	v	1
area	n	1
argue	v	2
arm	n	1
arm	v	1
armchair	n	2
army	n	2
around	bp	1
arrange	v	2
arrive	v	1
art	n	1
artist	n	2
as	c	1
as	p	1
as	b	1
ask	v	1
asleep	j	2
assistant	jn	2
assume	v	2
at	p	1
attack	nv	1
attention	n	2
august	n	1
aunt	n	1
autumn	n	1
available	j	2
avoid	v	2
away	b	1
baby	n	1
baby sitter	n	2
back	jn	1
back	b	1
back	v	1
backpack	nv	2
backward	bj	2
bad	j	1
badminton	n	1
bag	n	1
bake	v	1
bakery	n	1
balcony	n	1
ball	n	2
balloon	n	2
banana	n	1
band	n	1
bank	n	1
barbecue	nv	2
barber	n	2
bark	nv	2
bark	n	2
base	nv	2
base	n	2
baseball	n	1
basement	n	2
basic	j	2
basket	n	1
basketball	n	1
bat	n	1
bat	nv	1
bath	nv	1
bathe	v	2
bathroom	n	1
be	v	1
beach	n	1
bean	n	1
bear	n	1
bear	v	1
beard	n	2
beat	v	2
beat	n	2
beautiful	j	1
beauty	n	2
because	c	1
become	v	1
bed	n	1
bedroom	n	1
bee	n	1
beef	n	1
been	v	1
beer	n	2
before	bcp	1
begin	v	1
beginner	n	2
beginning	n	2
behave	v	2
behind	bp	1
believe	v	1
bell	n	1
belong	v	1
below	bp	1
belt	n	1
bench	n	1
beside	p	1
besides	bp	2
between	p	1
beyond	bp	2
bicycle	n	1
big	j	1
bike	n	1
bill	nv	2
bill	n	2
biology	n	2
bird	n	1
birthday	n	1
bite	nv	1
bitter	j	2
black	jn	1
blackboard	n	1
blame	nv	2
blank	jn	1
blanket	nv	1
bless	v	2
blind	jv	1
block	n	1
block	v	1
blood	n	2
blouse	n	2
blow	v	1
blow	n	1
blue	jn	1
blue	j	1
board	nv	2
board	n	2
boat	n	1
body	n	1
boil	v	1
bomb	nv	2
bone	n	2
book	n	1
book	v	1
bookcase	n	2
bookstore	n	1
bored	j	1
boring	j	1
born	jv	1
borrow	v	1
boss	n	1
both	bjr	1
bother	nv	2
bottle	nv	1
bottom	jnv	1
bottom	n	1
bow	nv	1
bow	n	1
bowl	n	1
bowling	n	2
box	nv	1
boy	n	1
branch	n	2
branch	v	2
brave	j	1
bread	n	1
break	nv	1
break	n	1
break	v	1
breakfast	n	1
brick	n	2
bridge	nv	1
bright	j	1
bring	v	1
broad	j	2
broadcast	nv	2
brother	n	1
brown	jnv	1
brunch	n	2
brush	nv	1
bucket	n	2
buffet	n	2
bug	n	1
bug	v	1
build	v	1
building	n	2
bun	n	1
bundle	n	2
burger	n	2
burger	n	1
burger	n	2
burger	n	1
burn	v	1
burn	nv	1
burst	nv	2
bus	n	1
business	n	1
businessman	n	1
busy	j	1
but	bcp	1
butter	nv	1
butterfly	n	1
button	nv	1
buy	nv	1
by	bp	1
bye	n	1
cabbage	n	2
cable	nv	2
cafeteria	n	2
cage	nv	2
cake	n	1
calendar	n	2
call	nv	1
call	v	1
calm	jnv	2
camera	n	1
camp	nv	1
campus	n	2
can	x	1
cancel	v	2
cancer	n	2
candle	n	1
candy	n	1
cap	nv	1
captain	n	2
car	n	1
card	n	1
care	nv	1
careful	j	1
careless	j	2
carpet	nv	2
carrot	n	2
carry	v	1
cartoon	n	2
case	n	1
cash	nv	2
castle	n	1
cat	n	1
catch	nv	1
catch	n	1
cause	nv	2
ceiling	n	2
celebrate	v	1
cellphone	n	1
cent	n	1
center	nv	1
centimeter	n	1
central	j	2
century	n	2
cereal	n	2
certain	j	2
chair	n	1
chair	nv	1
chalk	nv	1
chance	n	1
change	v	1
change	n	1
channel	n	2
character	n	2
charge	v	2
charge	n	2
chart	n	2
chase	v	2
cheap	bj	1
cheat	nv	1
check	n	1
check	v	1
cheer	nv	1
cheese	n	1
chemistry	n	2
chess	n	2
chicken	n	1
child	n	1
childhood	n	2
childish	j	2
childlike	j	2
chin	n	2
china	n	1
chinese	jn	1
chocolate	n	1
choice	jn	1
choose	v	1
chopstick	n	1
christmas	n	1
chubby	j	2
church	n	1
circle	nv	1
city	n	1
clap	nv	1
class	n	1
class	nv	1
classical	j	2
classmate	n	1
classroom	n	1
clean	jnv	1
clean	bj	1
clear	v	1
clear	j	1
clear	b	1
clerk	n	1
clever	j	2
climate	n	2
climb	nv	1
climb	v	1
clock	n	1
close	v	1
close	nv	1
close	bj	1
close	j	1
closet	n	2
clothes	n	1
cloud	n	1
cloud	v	1
cloudy	j	1
club	n	1
coach	nv	2
coast	n	2
coat	n	1
cockroach	n	2
coffee	n	1
coin	n	2
cola	n	2
cold	jn	1
collect	v	1
college	n	2
color	nv	1
colorful	j	2
comb	nv	1
come	v	1
comfortable	j	1
comic	j	1
comic	n	1
command	nv	2
comment	nv	2
common	j	1
company	n	2
compare	v	2
complain	v	2
complete	jv	2
computer	n	1
concern	nv	2
confident	j	2
confuse	v	2
congratulation	n	2
consider	v	2
considerate	j	2
contact lens	n	2
continue	v	2
contract	nv	2
control	nv	2
convenience store	n	2
convenient	j	1
conversation	n	2
cook	nv	1
cookie	n	1
cool	jv	1
copy	nv	1
corn	n	2
corner	n	1
correct	jv	1
cost	nv	1
cotton	n	2
couch	n	1
cough	nv	2
could	x	1
count	nv	1
country	n	1
couple	n	2
courage	n	2
course	n	1
court	n	2
cousin	n	1
cover	nv	1
cow	n	1
cowboy	n	2
crab	n	2
crayon	n	2
crazy	j	1
cream	n	2
create	v	2
credit card	n	2
crime	n	2
cross	v	1
cross	n	1
crowd	n	2
crowded	j	2
cruel	j	2
cry	nv	1
culture	n	2
cup	n	1
cure	nv	2
curious	j	2
current	j	2
current	n	2
curtain	n	2
curve	nv	2
custom	n	2
customer	n	2
cut	nv	1
cute	j	1
dad	n	1
daddy	n	1
daily	bj	2
damage	nv	2
dance	nv	1
danger	n	2
dangerous	j	1
dark	jn	1
date	nv	1
daughter	n	1
dawn	nv	2
day	n	1
dead	j	1
deaf	j	2
deal	v	1
deal	n	1
dear	ijn	1
death	n	1
debate	nv	2
december	n	1
decide	v	1
decision	n	2
decorate	v	2
decrease	nv	2
deep	bj	1
deer	n	2
define	v	1
degree	n	2
delicious	j	1
deliver	v	2
dentist	n	1
department	n	2
department store	n	1
depend	v	2
describe	v	2
desert	v	2
desert	n	2
design	nv	2
desire	nv	2
desk	n	1
dessert	n	2
detect	v	2
develop	v	2
dial	nv	2
diamond	n	2
diary	n	2
dictionary	n	1
did	vx	1
die	v	1
diet	jnv	2
difference	n	2
different	j	1
difficult	j	1
difficulty	n	2
dig	v	1
diligent	j	2
dining room	n	1
dinner	n	1
dinosaur	n	2
diplomat	n	2
direct	j	2
direct	v	2
direction	n	2
dirty	jv	1
disappear	v	2
discover	v	2
discuss	v	2
discussion	n	2
dish	n	1
dishonest	j	2
distance	n	2
distant	j	2
divide	v	2
dizzy	j	2
do	v	1
do	x	1
doctor	n	1
dodge ball	n	2
does	vx	1
dog	n	1
doll	n	1
dollar	n	1
dolphin	n	2
done	vx	1
donkey	n	2
door	n	1
dot	n	1
double	jnv	2
doubt	nv	2
doughnut	n	2
down	bp	1
down	j	1
down	n	1
download	v	1
downstairs	bj	2
downtown	bjn	2
dozen	n	1
dr.	n	1
dr.	n	1
dragon	n	2
drama	n	2
draw	v	1
drawer	n	1
dream	nv	1
dress	nv	1
dresser	n	2
drink	nv	1
drive	nv	1
driver	n	1
drop	nv	1
drugstore	n	2
drum	n	1
dry	jv	1
dryer	n	2
duck	n	1
dumb	j	2
dumpling	n	2
during	p	1
duty	n	2
each	bjr	1
eagle	n	2
ear	n	1
early	bj	1
earn	v	2
earring	n	2
earth	n	1
earthquake	n	1
ease	nv	2
east	bjn	1
easter	n	1
easy	j	1
eat	v	1
edge	n	2
education	n	2
effort	n	2
egg	n	1
eight	jmnr	1
eighteen	jmnr	1
eighty	jmnr	1
either	b	1
either	cjr	1
elder	jn	2
elect	v	2
electric	j	2
elementary school	n	1
elephant	n	1
eleven	jmnr	1
else	bj	1
email	nv	1
embarrass	v	2
emotion	n	2
emphasize	v	2
employ	v	2
empty	jv	2
end	nv	1
enemy	n	2
energetic	j	2
energy	n	2
engine	n	2
engineer	n	1
english	jn	1
enjoy	v	1
enough	bjr	1
enter	v	1
entrance	n	2
envelope	n	1
environment	n	2
envy	nv	2
equal	jnv	2
eraser	n	1
error	n	1
especially	b	2
eve	n	1
even	j	1
even	b	1
evening	n	1
event	n	2
ever	b	1
every	j	1
everybody	r	1
everyone	r	1
everything	r	1
everywhere	b	2
evil	jn	2
exam	n	2
example	n	1
excellent	j	1
except	cp	1
excite	v	2
excited	j	1
exciting	j	1
excuse	n	1
excuse	v	1
exercise	nv	1
exist	v	2
exit	nv	2
expect	v	1
expensive	j	1
experience	nv	1
explain	v	1
express	v	2
express	n	2
express	j	2
extra	j	2
eye	n	1
face	nv	1
fact	n	1
factory	n	1
fail	v	1
fair	j	2
fair	n	2
fall	n	1
fall	v	1
false	j	2
family	n	1
famous	j	1
fan	n	1
fancy	j	2
fantastic	j	2
far	bj	1
farm	n	1
farmer	n	1
fashionable	j	2
fast	bj	1
fat	jn	1
father	n	1
faucet	n	2
fault	n	2
favorite	jn	1
fear	nv	2
february	n	1
fee	n	2
feed	v	1
feel	v	1
feeling	n	2
female	jn	2
fence	n	2
festival	n	1
fever	n	1
few	jr	1
fifteen	jmnr	1
fifty	jmnr	1
fight	nv	1
file	n	1
file	v	1
fill	v	1
film	n	2
final	j	2
final	n	2
finally	b	1
find	v	1
fine	j	1
fine	nv	1
finger	n	1
finish	nv	1
fire	n	1
fire	v	1
first	bjr	1
fish	nv	1
fisherman	n	1
fit	n	2
fit	v	2
fit	j	2
five	jmnr	1
fix	v	1
flag	n	2
flashlight	n	2
flat tire	n	2
flight	n	2
floor	n	1
flour	n	2
flower	n	1
flu	n	2
flute	n	2
fly	v	1
fly	n	1
focus	nv	2
fog	n	2
foggy	j	2
follow	v	1
food	n	1
fool	jn	1
