a	a	[[1], [], [4], [1], [1]]	['一(個)', '後接母音開頭之字時為 an', '']
a.m.	b	[[1], [], [], [1], [1]]	['上午', '= a.m.= AM', '']
abandon	n	[[2], [], [], [], []]	['盡情、放縱', '', '']
abandon	v	[[2], [8], [], [4], []]	['拋棄、捨棄、中止', '', 'abandon']
abandonment	n	[[], [8], [], [], []]	['', '', 'abandon']
abbey	n	[[3], [], [], [], []]	['大修道院', '', '']
abbreviate	v	[[3], [], [], [6], []]	['縮寫、使簡短', '', '']
abbreviation	n	[[3], [], [], [], []]	['縮寫、簡稱', '', '']
abdomen	n	[[3], [], [], [], []]	['腹部', '', '']
abide	v	[[3], [], [], [6], []]	['容忍、遵守', '', '']
ability	n	[[1], [], [], [1], []]	['能力、才能', '', '']
able	j	[[1], [], [], [1], [1]]	['能夠的、有才能的', '', '']
abnormal	j	[[2], [2], [], [5], []]	['不正常的', '', 'normal']
abnormally	b	[[], [2], [], [], []]	['', '', 'normal']
aboard	bp	[[2], [], [], [3], []]	['在(交通工具)上', '', '']
abolish	v	[[3], [], [], [5], []]	['廢除', '', '']
aboriginal	jn	[[3], [], [], [6], []]	['土著的；土著', '', '']
aborigine	n	[[3], [], [], [], []]	['原住民', '', '']
abortion	n	[[3], [], [], [5], []]	['流產、墮胎', '', '']
abound	v	[[3], [], [], [6], []]	['大量存在、富足', '', '']
about	bp	[[1], [], [], [1], [1]]	['大約、關於；大約、幾乎、在周圍', '', '']
about	p	[[], [], [28], [], []]	['大約；關於', '', '']
above	bj	[[1], [], [], [], [1]]	['上文、前文；前文述及的、上述的', '', '']
above	bjp	[[], [], [], [1], []]	['', '', '']
above	bp	[[1], [], [], [], [1]]	['在…上面、超過、大於', '', '']
abroad	b	[[1], [], [], [1], [1]]	['在國外、到國外', '', '']
abrupt	j	[[3], [], [], [5], []]	['突然的、唐突的', '', '']
absence	n	[[2], [], [], [2], []]	['缺席、不在場', '', '']
absent	j	[[1], [], [], [], [2]]	['缺席的、不在場的、心不在焉的', '', '']
absent	jv	[[], [], [], [2], []]	['', '', '']
absent-minded	j	[[3], [], [], [], []]	['心不在焉的', '', '']
absolute	j	[[], [], [], [4], []]	['', '', '']
absolute	jn	[[2], [], [], [], []]	['完全的、絕對的；絕對', '', '']
absorb	v	[[2], [], [], [4], []]	['吸收、併入', '', '']
abstract	j	[[], [], [], [4], []]	['', '', '']
abstract	jn	[[2], [], [], [], []]	['抽象的', '', '']
abstract	jnv	[[], [6], [], [], []]	['', '', 'abstract']
abstract	n	[[2], [], [], [], []]	['摘要', '', '']
abstraction	n	[[3], [6], [], [6], []]	['抽象(概念)、抽取、提取', '', 'abstract']
abstractly	b	[[], [6], [], [], []]	['', '', 'abstract']
absurd	j	[[], [], [], [5], []]	['', '', '']
absurd	jn	[[3], [], [], [], []]	['荒謬的；荒誕(的事物)', '', '']
abundance	n	[[3], [], [], [6], []]	['大量、充裕', '', '']
abundant	j	[[3], [], [], [5], []]	['大量的', '', '']
abuse	nv	[[2], [], [], [5], []]	['濫用、虐待', '', '']
academia	n	[[], [5], [], [], []]	['', '', 'academy']
academic	j	[[2], [], [], [4], []]	['學術的、學業的', '', '']
academic	jn	[[], [5], [], [], []]	['', '', 'academy']
academically	b	[[], [5], [], [], []]	['', '', 'academy']
academy	n	[[2], [5], [], [6], []]	['學院、學會', '', 'academy']
accelerate	v	[[3], [], [], [5], []]	['加速', '', '']
acceleration	n	[[3], [], [], [], []]	['加速', '', '']
accent	n	[[2], [], [], [4], []]	['口音、腔調', '', '']
accept	v	[[1], [], [], [2], [2]]	['收受、接受(提議、邀請)、同意、接納', '', '']
acceptable	j	[[2], [], [], [3], []]	['可接受的、認可的', '', '']
acceptance	n	[[2], [], [], [4], []]	['接受、認可', '', '']
